entry_id,source_entry_id,person_id,normalization input,listed as,book,author,edition,year
Cugoano-Thoughts-1-0001,Cugoano-Thoughts-1-0001,Cugoano-Thoughts-1-0001,Mr. Adams,Mr. Adams,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0002,Cugoano-Thoughts-1-0002,Cugoano-Thoughts-1-0002,Mrs. Allen,Mrs. Allen,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0003,Cugoano-Thoughts-1-0003,Cugoano-Thoughts-1-0003,Mr. Allam,Mr. Allam,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0004,Cugoano-Thoughts-1-0004,Cugoano-Thoughts-1-0004,Mr. Allwood,Mr. Allwood,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0005,Cugoano-Thoughts-1-0005,Cugoano-Thoughts-1-0005,Mr. Alexander,Mr. Alexander,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0006a,Cugoano-Thoughts-1-0006,Cugoano-Thoughts-1-0006a,Right Hon. Lord Barnard,Right Hon. Lord and Lady Barnard,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0006b,Cugoano-Thoughts-1-0006,Cugoano-Thoughts-1-0006b,Lady Barnard,Right Hon. Lord and Lady Barnard,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0007,Cugoano-Thoughts-1-0007,Cugoano-Thoughts-1-0007,Mr. Becket,Mr. Becket,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0008,Cugoano-Thoughts-1-0008,Cugoano-Thoughts-1-0008,Mr. Barrat,Mr. Barrat,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0009,Cugoano-Thoughts-1-0009,Cugoano-Thoughts-1-0009,Mr. Baptize,Mr. Baptize,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0010,Cugoano-Thoughts-1-0010,Cugoano-Thoughts-1-0010,Mr. Burkeny Young,Mr. Burkeny Young,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0011,Cugoano-Thoughts-1-0011,Cugoano-Thoughts-1-0011,Mr. Brablytroy,Mr. Brablytroy,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0012,Cugoano-Thoughts-1-0012,Cugoano-Thoughts-1-0012,Mr. Bowie,Mr. Bowie,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0013,Cugoano-Thoughts-1-0013,Cugoano-Thoughts-1-0013,Mr. Baily,Mr. Baily,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0014,Cugoano-Thoughts-1-0014,Cugoano-Thoughts-1-0014,Mr. Bovie,Mr. Bovie,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0015,Cugoano-Thoughts-1-0015,Cugoano-Thoughts-1-0015,Mr. Brown,Mr. Brown,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0016,Cugoano-Thoughts-1-0016,Cugoano-Thoughts-1-0016,Mr. Brewer,Mr. Brewer,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0017,Cugoano-Thoughts-1-0017,Cugoano-Thoughts-1-0017,Mr. Bennet,Mr. Bennet,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0018a,Cugoano-Thoughts-1-0018,Cugoano-Thoughts-1-0018a,Mr. Bradbury,Mr. and Mrs. Bradbury,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0018b,Cugoano-Thoughts-1-0018,Cugoano-Thoughts-1-0018b,Mrs. Bradbury,Mr. and Mrs. Bradbury,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0019,Cugoano-Thoughts-1-0019,Cugoano-Thoughts-1-0019,Mr. Boston,Mr. Boston,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0020,Cugoano-Thoughts-1-0020,Cugoano-Thoughts-1-0020,Mr. Browne,Mr. Browne,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0021,Cugoano-Thoughts-1-0021,Cugoano-Thoughts-1-0021,Mr. Bridgewater,Mr. Bridgewater,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0022,Cugoano-Thoughts-1-0022,Cugoano-Thoughts-1-0022,Mr. Beckford,Mr. Beckford,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0023,Cugoano-Thoughts-1-0023,Cugoano-Thoughts-1-0023,Mr. Campbell,Mr. Campbell,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0024,Cugoano-Thoughts-1-0024,Cugoano-Thoughts-1-0024,Mr. Cosway,Mr. Cosway,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0025,Cugoano-Thoughts-1-0025,Cugoano-Thoughts-1-0025,Mr. Cuzons,Mr. Cuzons,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0026,Cugoano-Thoughts-1-0026,Cugoano-Thoughts-1-0026,Mr. Carry,Mr. Carry,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0027,Cugoano-Thoughts-1-0027,Cugoano-Thoughts-1-0027,Mr. Camburn,Mr. Camburn,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0028,Cugoano-Thoughts-1-0028,Cugoano-Thoughts-1-0028,Mr. Charpontiare,Mr. Charpontiare,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0029,Cugoano-Thoughts-1-0029,Cugoano-Thoughts-1-0029,Mr. Crook,Mr. Crook,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0030,Cugoano-Thoughts-1-0030,Cugoano-Thoughts-1-0030,Mr. Crosland,Mr. Crosland,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0031,Cugoano-Thoughts-1-0031,Cugoano-Thoughts-1-0031,Mr. Crigg,Mr. Crigg,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0032,Cugoano-Thoughts-1-0032,Cugoano-Thoughts-1-0032,Mr. Collings,Mr. Collings,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0033,Cugoano-Thoughts-1-0033,Cugoano-Thoughts-1-0033,Mr. Dumanudue,Mr. Dumanudue,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0034,Cugoano-Thoughts-1-0034,Cugoano-Thoughts-1-0034,Mr. Davison,Mr. Davison,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0035,Cugoano-Thoughts-1-0035,Cugoano-Thoughts-1-0035,Mr. Douglass,Mr. Douglass,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0036,Cugoano-Thoughts-1-0036,Cugoano-Thoughts-1-0036,Mr. Daves,Mr. Daves,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0037,Cugoano-Thoughts-1-0037,Cugoano-Thoughts-1-0037,Mr. Davise,Mr. Davise,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0038,Cugoano-Thoughts-1-0038,Cugoano-Thoughts-1-0038,Mr. Durnford,Mr. Durnford,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0039,Cugoano-Thoughts-1-0039,Cugoano-Thoughts-1-0039,Mr. Dent,Mr. Dent,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0040,Cugoano-Thoughts-1-0040,Cugoano-Thoughts-1-0040,Mr. Daves,Mr. Daves,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0041,Cugoano-Thoughts-1-0041,Cugoano-Thoughts-1-0041,Mr. Dodsly,Mr. Dodsly,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0042,Cugoano-Thoughts-1-0042,Cugoano-Thoughts-1-0042,Mr. Ellis,Mr. Ellis,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0043,Cugoano-Thoughts-1-0043,Cugoano-Thoughts-1-0043,Mr. Elliott,Mr. Elliott,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0044,Cugoano-Thoughts-1-0044,Cugoano-Thoughts-1-0044,Mr. Enoch,Mr. Enoch,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0045,Cugoano-Thoughts-1-0045,Cugoano-Thoughts-1-0045,Mr. Ebdon,Mr. Ebdon,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0046,Cugoano-Thoughts-1-0046,Cugoano-Thoughts-1-0046,Mr. Emery,Mr. Emery,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0047,Cugoano-Thoughts-1-0047,Cugoano-Thoughts-1-0047,Right Hon. Viscount Fielding,Right Hon. Viscount Fielding,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0048,Cugoano-Thoughts-1-0048,Cugoano-Thoughts-1-0048,Mr. Fox,Mr. Fox,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0049,Cugoano-Thoughts-1-0049,Cugoano-Thoughts-1-0049,Mr. Followes,Mr. Followes,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0050,Cugoano-Thoughts-1-0050,Cugoano-Thoughts-1-0050,Mr. Frall,Mr. Frall,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0051,Cugoano-Thoughts-1-0051,Cugoano-Thoughts-1-0051,Mr. Ferral,Mr. Ferral,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0052,Cugoano-Thoughts-1-0052,Cugoano-Thoughts-1-0052,Mr. Fleece,Mr. Fleece,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0053,Cugoano-Thoughts-1-0053,Cugoano-Thoughts-1-0053,Mr. Flanders,Mr. Flanders,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0054,Cugoano-Thoughts-1-0054,Cugoano-Thoughts-1-0054,Mr. Frances,Mr. Frances,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0055,Cugoano-Thoughts-1-0055,Cugoano-Thoughts-1-0055,Mrs. Fletcher,Mrs. Fletcher,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0056,Cugoano-Thoughts-1-0056,Cugoano-Thoughts-1-0056,Mr. George Fancy,Mr. George Fancy,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0057,Cugoano-Thoughts-1-0057,Cugoano-Thoughts-1-0057,Mr. Goodram,Mr. Goodram,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0058,Cugoano-Thoughts-1-0058,Cugoano-Thoughts-1-0058,Mr. Gray,Mr. Gray,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0059,Cugoano-Thoughts-1-0059,Cugoano-Thoughts-1-0059,Mr. Gray,Mr. Gray,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
